n_features, F1, precision, recall, accuracy
10, 0.892775, 0.834915, 0.95925, 0.838723
20, 0.898808, 0.850208, 0.953302, 0.849757
30, 0.90762, 0.867843, 0.95122, 0.864469
40, 0.911106, 0.875583, 0.949633, 0.870298
50, 0.913866, 0.885962, 0.943585, 0.875503
60, 0.916268, 0.893601, 0.940115, 0.879736
70, 0.916546, 0.891545, 0.94299, 0.879806
80, 0.917477, 0.896265, 0.939718, 0.881679
90, 0.919042, 0.900714, 0.938132, 0.884316
100, 0.921346, 0.905427, 0.937835, 0.887925
110, 0.923092, 0.910019, 0.936546, 0.89077
120, 0.926094, 0.913891, 0.938628, 0.895142
130, 0.926573, 0.917477, 0.935852, 0.896183
140, 0.927431, 0.919256, 0.935753, 0.897502
150, 0.928105, 0.920101, 0.936248, 0.898473
160, 0.928976, 0.922393, 0.935653, 0.899861
170, 0.929868, 0.925123, 0.934662, 0.901319
180, 0.928998, 0.925933, 0.932084, 0.900278
190, 0.929023, 0.926276, 0.931787, 0.900347
200, 0.929189, 0.926214, 0.932183, 0.900555
210, 0.929878, 0.927585, 0.932183, 0.901596
220, 0.930288, 0.927811, 0.932778, 0.902151
230, 0.930454, 0.929717, 0.931192, 0.902568
240, 0.929787, 0.930665, 0.928911, 0.901804
250, 0.930473, 0.932139, 0.928812, 0.902845
260, 0.931259, 0.933719, 0.928812, 0.904025
270, 0.931179, 0.934058, 0.928316, 0.903956
280, 0.931257, 0.934418, 0.928118, 0.904094
290, 0.931447, 0.936111, 0.926829, 0.904511
300, 0.931151, 0.937136, 0.925243, 0.904233
310, 0.93143, 0.937701, 0.925243, 0.90465
320, 0.931317, 0.937776, 0.924945, 0.904511
330, 0.931662, 0.938884, 0.924549, 0.905066
340, 0.931908, 0.93918, 0.924747, 0.905413
350, 0.932274, 0.939312, 0.925342, 0.905899
360, 0.93236, 0.940305, 0.924549, 0.906107
370, 0.932199, 0.941004, 0.923557, 0.905968
380, 0.932499, 0.941307, 0.923855, 0.906384
390, 0.933013, 0.941634, 0.924549, 0.907078
400, 0.93304, 0.941277, 0.924945, 0.907078
410, 0.933167, 0.941741, 0.924747, 0.907287
420, 0.933707, 0.94171, 0.925838, 0.907981
430, 0.933427, 0.941141, 0.925838, 0.907564
440, 0.932893, 0.941082, 0.924846, 0.90687
450, 0.93294, 0.941176, 0.924846, 0.90694
460, 0.932773, 0.941248, 0.92445, 0.906731
470, 0.932813, 0.941432, 0.924351, 0.906801
480, 0.93266, 0.941325, 0.924152, 0.906593
490, 0.932913, 0.941533, 0.92445, 0.90694
500, 0.93416, 0.94212, 0.926334, 0.908605
510, 0.933947, 0.942096, 0.925937, 0.908328
520, 0.934147, 0.943019, 0.925441, 0.908675
530, 0.93336, 0.944202, 0.922764, 0.907772
540, 0.9332, 0.944185, 0.922467, 0.907564
550, 0.933133, 0.94436, 0.922169, 0.907495
560, 0.933394, 0.944478, 0.922566, 0.907842
570, 0.933414, 0.944935, 0.922169, 0.907911
580, 0.933741, 0.944879, 0.922863, 0.908328
590, 0.933908, 0.944805, 0.92326, 0.908536
600, 0.934162, 0.945014, 0.923557, 0.908883
610, 0.934329, 0.94494, 0.923954, 0.909091
620, 0.934577, 0.945239, 0.924152, 0.909438
630, 0.934664, 0.945521, 0.924053, 0.909577
640, 0.934644, 0.945792, 0.923756, 0.909577
650, 0.93443, 0.94577, 0.923359, 0.909299
660, 0.934244, 0.946116, 0.922665, 0.909091
670, 0.934418, 0.946683, 0.922467, 0.909368
680, 0.934672, 0.946892, 0.922764, 0.909715
690, 0.934432, 0.947234, 0.921971, 0.909438
700, 0.93464, 0.947347, 0.922268, 0.909715
710, 0.934706, 0.94717, 0.922566, 0.909785
720, 0.934927, 0.947101, 0.923062, 0.910062
730, 0.934946, 0.946828, 0.923359, 0.910062
740, 0.934625, 0.946796, 0.922764, 0.909646
750, 0.934485, 0.946507, 0.922764, 0.909438
760, 0.934605, 0.946336, 0.923161, 0.909577
770, 0.934478, 0.946597, 0.922665, 0.909438
780, 0.934464, 0.946048, 0.923161, 0.909368
790, 0.934498, 0.946325, 0.922963, 0.909438
800, 0.934472, 0.946688, 0.922566, 0.909438
810, 0.934499, 0.947058, 0.922268, 0.909507
820, 0.934479, 0.947331, 0.921971, 0.909507
830, 0.934412, 0.947508, 0.921674, 0.909438
840, 0.934138, 0.947572, 0.921079, 0.909091
850, 0.934138, 0.947572, 0.921079, 0.909091
860, 0.934058, 0.947933, 0.920583, 0.909022
870, 0.934071, 0.94775, 0.920781, 0.909022
880, 0.934178, 0.94776, 0.92098, 0.90916
890, 0.934078, 0.947658, 0.92088, 0.909022
900, 0.933944, 0.948013, 0.920286, 0.908883
910, 0.933622, 0.947982, 0.919691, 0.908466
920, 0.933789, 0.947906, 0.920087, 0.908675
930, 0.934064, 0.947841, 0.920682, 0.909022
940, 0.934125, 0.947755, 0.92088, 0.909091
950, 0.934118, 0.947846, 0.920781, 0.909091
960, 0.933897, 0.947917, 0.920286, 0.908813
970, 0.93395, 0.947922, 0.920385, 0.908883
980, 0.933903, 0.947825, 0.920385, 0.908813
990, 0.93385, 0.94782, 0.920286, 0.908744
