n_features, F1, precision, recall, accuracy
10, 0.892775, 0.834915, 0.95925, 0.838723
20, 0.898827, 0.850084, 0.9535, 0.849757
30, 0.907595, 0.867631, 0.951418, 0.8644
40, 0.911218, 0.875537, 0.949931, 0.870437
50, 0.913718, 0.885858, 0.943387, 0.875295
60, 0.916216, 0.893591, 0.940016, 0.879667
70, 0.916442, 0.891524, 0.942792, 0.879667
80, 0.917469, 0.89634, 0.939619, 0.881679
90, 0.919042, 0.900714, 0.938132, 0.884316
100, 0.921436, 0.905601, 0.937835, 0.888064
110, 0.923423, 0.910475, 0.936744, 0.891256
120, 0.926216, 0.914316, 0.93843, 0.89535
130, 0.926777, 0.91759, 0.936149, 0.896461
140, 0.927536, 0.919272, 0.935951, 0.897641
150, 0.92815, 0.920191, 0.936248, 0.898543
160, 0.928916, 0.922468, 0.935455, 0.899792
170, 0.929657, 0.925093, 0.934265, 0.901041
180, 0.928854, 0.925744, 0.931985, 0.900069
190, 0.928963, 0.926353, 0.931588, 0.900278
200, 0.928939, 0.92601, 0.931886, 0.900208
210, 0.92972, 0.927563, 0.931886, 0.901388
220, 0.930083, 0.927698, 0.932481, 0.901874
230, 0.930196, 0.929597, 0.930795, 0.902221
240, 0.929695, 0.93048, 0.928911, 0.901666
250, 0.930228, 0.931848, 0.928614, 0.902498
260, 0.930968, 0.933333, 0.928614, 0.903609
270, 0.93086, 0.934019, 0.927722, 0.903539
280, 0.931084, 0.934572, 0.927622, 0.903886
290, 0.93128, 0.936179, 0.926433, 0.904303
300, 0.931184, 0.937406, 0.925045, 0.904303
310, 0.931516, 0.937977, 0.925144, 0.904788
320, 0.931403, 0.938053, 0.924846, 0.90465
330, 0.931748, 0.939162, 0.92445, 0.905205
340, 0.931848, 0.939263, 0.924549, 0.905344
350, 0.932368, 0.939501, 0.925342, 0.906037
360, 0.932613, 0.940512, 0.924846, 0.906454
370, 0.932606, 0.941319, 0.924053, 0.906523
380, 0.93286, 0.941527, 0.924351, 0.90687
390, 0.93328, 0.941663, 0.925045, 0.907425
400, 0.933333, 0.941669, 0.925144, 0.907495
410, 0.933553, 0.942323, 0.924945, 0.907842
420, 0.933947, 0.942096, 0.925937, 0.908328
430, 0.933813, 0.941722, 0.926036, 0.908119
440, 0.933387, 0.941675, 0.925243, 0.907564
450, 0.933433, 0.94177, 0.925243, 0.907634
460, 0.933373, 0.941853, 0.925045, 0.907564
470, 0.933333, 0.941669, 0.925144, 0.907495
480, 0.933133, 0.941467, 0.924945, 0.907217
490, 0.933487, 0.941776, 0.925342, 0.907703
500, 0.934547, 0.942702, 0.926532, 0.90916
510, 0.934387, 0.942684, 0.926234, 0.908952
520, 0.934594, 0.943518, 0.925838, 0.909299
530, 0.933661, 0.944506, 0.923062, 0.908189
540, 0.933447, 0.944484, 0.922665, 0.907911
550, 0.933534, 0.944766, 0.922566, 0.90805
560, 0.933581, 0.944862, 0.922566, 0.908119
570, 0.933501, 0.945218, 0.92207, 0.90805
580, 0.934089, 0.945279, 0.923161, 0.908813
590, 0.934203, 0.9452, 0.923458, 0.908952
600, 0.93451, 0.945414, 0.923855, 0.909368
610, 0.934203, 0.9452, 0.923458, 0.908952
620, 0.934504, 0.945504, 0.923756, 0.909368
630, 0.934644, 0.945792, 0.923756, 0.909577
640, 0.934524, 0.945962, 0.923359, 0.909438
650, 0.934511, 0.946144, 0.923161, 0.909438
660, 0.934217, 0.946479, 0.922268, 0.909091
670, 0.934425, 0.947326, 0.921872, 0.909438
680, 0.93468, 0.947535, 0.922169, 0.909785
690, 0.934607, 0.947803, 0.921773, 0.909715
700, 0.934855, 0.948104, 0.921971, 0.910062
710, 0.934915, 0.948018, 0.922169, 0.910132
720, 0.935075, 0.948033, 0.922467, 0.91034
730, 0.935142, 0.947856, 0.922764, 0.910409
740, 0.934868, 0.947921, 0.922169, 0.910062
750, 0.93472, 0.947722, 0.92207, 0.909854
760, 0.934894, 0.947556, 0.922566, 0.910062
770, 0.934821, 0.947824, 0.922169, 0.909993
780, 0.934807, 0.947272, 0.922665, 0.909924
790, 0.934887, 0.947647, 0.922467, 0.910062
800, 0.934908, 0.948109, 0.92207, 0.910132
810, 0.934882, 0.948475, 0.921674, 0.910132
820, 0.934721, 0.948459, 0.921376, 0.909924
830, 0.934708, 0.948642, 0.921178, 0.909924
840, 0.934601, 0.948632, 0.92098, 0.909785
850, 0.934648, 0.948728, 0.92098, 0.909854
860, 0.934521, 0.948993, 0.920484, 0.909715
870, 0.934689, 0.948917, 0.92088, 0.909924
880, 0.934849, 0.948933, 0.921178, 0.910132
890, 0.934862, 0.948749, 0.921376, 0.910132
900, 0.934843, 0.949024, 0.921079, 0.910132
910, 0.934742, 0.948922, 0.92098, 0.909993
920, 0.934809, 0.948744, 0.921277, 0.910062
930, 0.934923, 0.948663, 0.921574, 0.910201
940, 0.934936, 0.94848, 0.921773, 0.910201
950, 0.934923, 0.948663, 0.921574, 0.910201
960, 0.934661, 0.948545, 0.921178, 0.909854
970, 0.934822, 0.948561, 0.921475, 0.910062
980, 0.934608, 0.94854, 0.921079, 0.909785
990, 0.934594, 0.948723, 0.92088, 0.909785
