n_features, F1, precision, recall, accuracy
10, 0.892691, 0.834468, 0.959647, 0.838515
40, 0.911624, 0.873105, 0.953698, 0.870576
20, 0.899538, 0.849625, 0.955681, 0.85059
50, 0.915796, 0.882575, 0.951616, 0.877516
70, 0.918226, 0.889788, 0.948543, 0.881749
60, 0.91705, 0.886974, 0.949237, 0.879806
80, 0.919707, 0.893806, 0.947154, 0.884247
30, 0.90831, 0.866637, 0.954194, 0.865163
90, 0.920826, 0.897347, 0.945568, 0.88619
100, 0.921886, 0.90053, 0.944279, 0.887994
120, 0.926571, 0.909238, 0.944577, 0.895212
110, 0.924308, 0.904527, 0.944973, 0.891672
150, 0.929854, 0.91521, 0.944973, 0.900208
130, 0.928408, 0.910573, 0.946956, 0.897779
140, 0.930325, 0.914639, 0.94656, 0.900763
160, 0.93041, 0.916755, 0.944477, 0.90111
170, 0.93151, 0.918143, 0.945271, 0.902706
180, 0.93306, 0.920502, 0.945965, 0.904997
190, 0.933562, 0.922139, 0.945271, 0.905829
200, 0.934555, 0.923606, 0.945766, 0.907287
210, 0.934857, 0.925146, 0.944775, 0.907842
220, 0.934662, 0.92562, 0.943883, 0.907634
230, 0.934414, 0.926088, 0.942891, 0.907356
240, 0.934231, 0.926399, 0.942197, 0.907148
250, 0.934558, 0.926276, 0.94299, 0.907564
260, 0.934834, 0.926817, 0.94299, 0.907981
270, 0.935444, 0.927826, 0.943189, 0.908883
290, 0.936319, 0.929549, 0.943189, 0.910201
280, 0.935681, 0.928195, 0.943288, 0.90923
300, 0.935933, 0.929752, 0.942197, 0.909715
310, 0.936795, 0.93097, 0.942693, 0.910965
320, 0.936743, 0.930964, 0.942594, 0.910895
330, 0.937435, 0.932333, 0.942594, 0.911936
340, 0.938101, 0.93336, 0.942891, 0.912908
350, 0.93825, 0.934238, 0.942296, 0.913185
360, 0.938441, 0.93452, 0.942395, 0.913463
370, 0.938778, 0.934992, 0.942594, 0.913949
380, 0.939271, 0.935484, 0.943089, 0.914643
390, 0.939183, 0.935992, 0.942395, 0.914573
400, 0.939769, 0.937451, 0.942098, 0.915475
410, 0.939733, 0.937969, 0.941503, 0.915475
420, 0.940175, 0.938457, 0.9419, 0.9161
430, 0.94021, 0.938723, 0.941701, 0.916169
440, 0.94046, 0.938927, 0.941999, 0.916516
450, 0.940629, 0.939559, 0.941701, 0.916794
460, 0.940798, 0.940192, 0.941404, 0.917071
470, 0.941037, 0.940571, 0.941503, 0.917418
480, 0.941083, 0.940664, 0.941503, 0.917488
490, 0.941322, 0.941042, 0.941602, 0.917835
500, 0.941439, 0.941672, 0.941206, 0.918043
510, 0.941608, 0.94231, 0.940908, 0.918321
520, 0.941964, 0.942525, 0.941404, 0.918806
530, 0.94211, 0.942718, 0.941503, 0.919015
540, 0.941924, 0.943141, 0.94071, 0.918806
550, 0.9421, 0.943693, 0.940512, 0.919084
560, 0.942129, 0.944052, 0.940214, 0.919153
570, 0.942491, 0.944179, 0.940809, 0.919639
580, 0.942433, 0.944262, 0.940611, 0.91957
590, 0.942678, 0.944555, 0.940809, 0.919917
600, 0.942982, 0.944765, 0.941206, 0.920333
610, 0.942935, 0.944671, 0.941206, 0.920264
620, 0.942894, 0.944489, 0.941305, 0.920194
630, 0.943297, 0.944798, 0.941801, 0.920749
640, 0.943391, 0.944986, 0.941801, 0.920888
650, 0.94363, 0.945368, 0.9419, 0.921235
660, 0.943484, 0.945174, 0.941801, 0.921027
670, 0.943437, 0.94508, 0.941801, 0.920958
680, 0.943672, 0.94555, 0.941801, 0.921305
690, 0.943619, 0.945545, 0.941701, 0.921235
700, 0.94352, 0.945445, 0.941602, 0.921096
710, 0.94352, 0.945445, 0.941602, 0.921096
720, 0.943351, 0.945607, 0.941106, 0.920888
730, 0.943451, 0.945706, 0.941206, 0.921027
740, 0.943608, 0.945723, 0.941503, 0.921235
750, 0.943655, 0.945817, 0.941503, 0.921305
760, 0.94355, 0.945806, 0.941305, 0.921166
770, 0.943865, 0.945838, 0.9419, 0.921582
780, 0.943859, 0.945927, 0.941801, 0.921582
790, 0.944878, 0.947374, 0.942395, 0.92304
800, 0.945135, 0.947489, 0.942792, 0.923387
810, 0.945113, 0.947846, 0.942395, 0.923387
820, 0.945049, 0.94802, 0.942098, 0.923317
830, 0.945196, 0.948214, 0.942197, 0.923525
840, 0.945489, 0.948603, 0.942395, 0.923942
850, 0.945536, 0.948697, 0.942395, 0.924011
860, 0.945876, 0.949181, 0.942594, 0.924497
870, 0.946122, 0.949476, 0.942792, 0.924844
880, 0.946227, 0.949486, 0.94299, 0.924983
890, 0.946515, 0.949965, 0.943089, 0.925399
900, 0.94662, 0.949975, 0.943288, 0.925538
910, 0.946509, 0.950055, 0.94299, 0.925399
920, 0.946855, 0.95045, 0.943288, 0.925885
930, 0.94675, 0.95044, 0.943089, 0.925746
940, 0.946871, 0.95018, 0.943585, 0.925885
950, 0.946955, 0.950549, 0.943387, 0.926024
960, 0.947002, 0.950644, 0.943387, 0.926093
970, 0.947185, 0.951115, 0.943288, 0.926371
980, 0.947237, 0.95112, 0.943387, 0.92644
990, 0.94729, 0.951124, 0.943486, 0.926509
1000, 0.947437, 0.951319, 0.943585, 0.926718
1010, 0.947583, 0.951515, 0.943684, 0.926926
1020, 0.947636, 0.951519, 0.943783, 0.926995
1030, 0.947782, 0.951714, 0.943883, 0.927203
1040, 0.947683, 0.951615, 0.943783, 0.927065
